epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,324.094,0.41141,0.32274,0.88808,0.4629,0.45763,0.4032,0.12596,2.72007,1.58749,2.43049,0.0011882,0.0011882,0.0011882
43,332.742,0.41321,0.31823,0.88356,0.59937,0.50717,0.58468,0.17821,2.57417,1.65889,2.27105,0.0011684,0.0011684,0.0011684
44,339.891,0.40628,0.31657,0.88303,0.45967,0.55932,0.46985,0.14705,2.665,1.57326,2.31622,0.0011486,0.0011486,0.0011486
45,346.793,0.41388,0.31535,0.88346,0.48166,0.59322,0.46791,0.14637,2.61919,1.5247,2.49179,0.0011288,0.0011288,0.0011288
46,355.238,0.4152,0.32326,0.88007,0.48145,0.47214,0.43042,0.12231,2.64798,1.73815,2.60915,0.001109,0.001109,0.001109
47,363.544,0.41026,0.31682,0.88118,0.37907,0.54237,0.37257,0.11122,2.78279,1.72151,2.68801,0.0010892,0.0010892,0.0010892
48,370.46,0.39354,0.30306,0.87146,0.49241,0.59194,0.48639,0.13119,2.90767,1.6632,2.87746,0.0010694,0.0010694,0.0010694
49,377.958,0.39149,0.3049,0.87632,0.55787,0.50847,0.46944,0.13542,2.7822,1.4704,2.57333,0.0010496,0.0010496,0.0010496
50,384.339,0.37882,0.29978,0.87489,0.46197,0.59322,0.45174,0.12844,2.80643,1.638,2.71343,0.0010298,0.0010298,0.0010298
51,390.947,0.38193,0.29766,0.87101,0.45972,0.45763,0.40224,0.09975,2.95974,1.73949,2.96705,0.00101,0.00101,0.00101
52,397.436,0.37901,0.28917,0.86756,0.40051,0.61017,0.40476,0.11566,2.83662,1.73243,2.78636,0.0009902,0.0009902,0.0009902
53,404.133,0.38803,0.29253,0.86994,0.56049,0.52542,0.51888,0.15688,2.8398,1.63469,2.68732,0.0009704,0.0009704,0.0009704
54,410.858,0.37133,0.28612,0.86969,0.41521,0.40678,0.33561,0.08878,3.04347,1.70023,3.29146,0.0009506,0.0009506,0.0009506
55,418.315,0.37396,0.28542,0.87382,0.46326,0.52542,0.42881,0.116,2.86224,1.67102,2.83147,0.0009308,0.0009308,0.0009308
56,427.178,0.36101,0.27827,0.865,0.48087,0.54955,0.52767,0.14459,2.87046,1.46115,2.7696,0.000911,0.000911,0.000911
57,434.529,0.35967,0.27842,0.86497,0.54533,0.44068,0.47314,0.12078,3.15438,1.69297,3.42633,0.0008912,0.0008912,0.0008912
58,441.61,0.35296,0.26865,0.8664,0.49213,0.44068,0.48293,0.12369,3.08574,1.56183,3.09865,0.0008714,0.0008714,0.0008714
59,448.413,0.3519,0.27497,0.86142,0.49018,0.57627,0.47607,0.13205,2.90332,1.59382,2.64919,0.0008516,0.0008516,0.0008516
60,456.843,0.3531,0.27344,0.86063,0.64556,0.49153,0.52951,0.13017,2.94753,1.49061,2.80877,0.0008318,0.0008318,0.0008318
61,464.103,0.34668,0.27411,0.86151,0.50432,0.42373,0.38625,0.12111,2.96714,1.71669,3.0375,0.000812,0.000812,0.000812
62,471.075,0.33059,0.26018,0.85552,0.49041,0.45763,0.43532,0.11995,2.97726,1.59048,3.17745,0.0007922,0.0007922,0.0007922
63,477.487,0.33592,0.26286,0.86214,0.47533,0.42373,0.37583,0.10533,3.17176,1.52466,3.37833,0.0007724,0.0007724,0.0007724
64,485.437,0.3299,0.25583,0.85626,0.43477,0.44068,0.33765,0.09091,3.16246,1.57532,3.48077,0.0007526,0.0007526,0.0007526
65,492.49,0.32834,0.25638,0.85427,0.55611,0.42373,0.44119,0.10734,3.05988,1.54579,3.03729,0.0007328,0.0007328,0.0007328
66,499.525,0.32636,0.25551,0.85745,0.46802,0.45763,0.42591,0.11258,3.0915,1.54672,3.08689,0.000713,0.000713,0.000713
67,506.339,0.32258,0.24999,0.85633,0.51478,0.52151,0.44437,0.12267,2.96972,1.448,3.01578,0.0006932,0.0006932,0.0006932
68,513.578,0.31649,0.24898,0.85646,0.51152,0.40824,0.40176,0.10564,3.11785,1.53146,3.13666,0.0006734,0.0006734,0.0006734
